J	?th	eig	newsr	ewsr
0.0	1	-11.211	0.751	4.461
0.0	2	-5.870	0.810	-1.172
0.0	3	-5.732	1.552	2.800
0.0	4	-4.121	0.619	0.528
0.0	5	-3.194	2.237	0.831
0.0	6	-1.289	1.217	-0.379
0.0	7	-0.343	1.692	-1.656
0.0	1	-7.681	0.684	1.888
0.0	2	-3.602	1.633	2.179
0.0	3	-3.237	0.766	-1.184
1.0	1	-9.583	0.800	5.494
1.0	2	-5.609	1.011	1.643
1.0	3	-3.626	0.852	-0.280
1.0	4	-2.815	1.414	0.342
1.0	5	-1.137	1.195	-2.379
1.0	1	-10.000	1.147	5.327
1.0	2	-6.048	0.717	1.378
1.0	3	-5.075	0.869	0.588
1.0	4	-4.385	0.632	-0.144
1.0	5	-2.290	1.049	-1.688
1.0	6	-1.846	1.134	-2.990
1.0	7	-1.080	1.141	-2.262
2.0	1	-12.009	0.744	6.604
2.0	2	-5.681	1.007	1.369
2.0	3	-4.669	0.707	0.511
2.0	4	-4.076	1.183	0.536
2.0	5	-3.595	1.081	-0.003
2.0	6	-3.247	0.678	-0.324
2.0	7	-0.884	1.239	-3.084
2.0	8	-0.107	1.244	-3.413
2.0	9	0.696	1.665	-7.186
2.0	1	-10.047	0.943	5.070
2.0	2	-5.616	0.700	0.636
2.0	3	-4.039	0.674	-0.239
2.0	4	-3.117	0.661	-1.005
2.0	5	-1.902	1.456	-1.024
2.0	6	-1.167	0.663	-2.060
3.0	1	-5.178	1.197	2.717
3.0	2	-3.124	0.782	-0.247
3.0	3	-1.000	0.931	-1.629
3.0	1	-6.038	0.960	1.011
3.0	2	-3.018	0.866	-0.619
3.0	3	-2.843	0.635	-1.206
4.0	1	-2.930	1.426	0.974
4.0	2	-1.660	0.861	-1.064
4.0	1	-2.422	0.970	-0.523
