J	?th	eig	newsr	ewsr
0.0	1	-27.615	0.117	1.941
0.0	2	-18.500	0.322	2.420
0.0	3	-14.009	0.549	1.656
0.0	4	-12.821	0.558	1.019
0.0	5	-11.342	38.817	13.475
0.0	6	-9.697	0.525	-0.681
0.0	7	-8.129	0.545	-1.561
0.0	8	-5.047	0.305	-1.813
0.0	9	-2.896	0.000	-0.002
0.0	10	-2.182	0.450	-3.968
1.0	1	-19.638	7.098	2.995
1.0	2	-14.938	15.116	3.269
1.0	3	-11.721	22.997	23.675
1.0	4	-10.081	14.788	-7.516
1.0	5	-9.550	14.665	-1.478
1.0	6	-6.863	15.416	-8.025
1.0	7	-3.949	7.434	-6.678
2.0	1	-10.403	11.656	-6.243
