J	?th	eig	newsr	ewsr
0.5	1th	2.396	16.98	36.04
0.5	2th	5.92	11.34	1.403
0.5	3th	7.992	9.335	2.712
0.5	4th	9.6	2.599	0.7401
0.5	5th	16.06	9.142	-16.78
0.5	6th	18.75	13.8	-14.57
0.5	1th	0.2186	6.848	21.4
0.5	2th	10.09	23.88	21.56
0.5	3th	12.43	11.31	18.35
0.5	4th	12.86	10.53	-4.423
0.5	5th	15.34	7.651	-8.906
1.5	1th	5.4	10.11	5.239
1.5	2th	6.492	11.22	0.7243
1.5	3th	7.143	8.902	6.848
1.5	4th	8.698	8.989	-15.95
1.5	5th	10.21	3.284	1.863
1.5	6th	12.87	7.747	-15.18
1.5	7th	16.14	16.82	17.2
1.5	8th	18.55	7.736	-4.274
1.5	1th	-0.9106	6.798	27.07
1.5	2th	3.206	4.423	-6.236
1.5	3th	8.524	9.212	19.21
1.5	4th	10.33	12.51	3.908
1.5	5th	10.65	16.17	15.11
1.5	6th	11.94	9.826	6.654
1.5	7th	12.99	13.92	1.243
1.5	8th	13.36	10.33	2.855
1.5	9th	14.67	6.392	-3.071
1.5	10th	16.67	8.389	-21.62
2.5	1th	1.034	14.86	45.72
2.5	2th	5.87	9.685	0.2256
2.5	3th	7.478	7.25	-7.965
2.5	4th	7.857	6.88	1.366
2.5	5th	9.773	6.342	0.6343
2.5	6th	12.61	9.527	-7.233
2.5	7th	13.71	4.019	-2.406
2.5	8th	16.67	16.13	17.3
2.5	9th	18.53	12.11	1.276
2.5	10th	19.89	4.656	-6.084
2.5	1th	2.74	4.235	-9.479
2.5	2th	10.24	15.4	12.21
2.5	3th	11.73	10.15	2.815
2.5	4th	12.45	13.66	11.57
2.5	5th	13.02	6.093	1.561
2.5	6th	13.79	8.815	-11.58
2.5	7th	15.18	9.415	-11.15
2.5	8th	17.73	9.511	-15.45
3.5	1th	6.469	6.229	-6.548
3.5	2th	8.69	6.185	3.054
3.5	3th	10.8	8.82	2.443
3.5	4th	18.73	11.44	-16.27
3.5	1th	10.75	14.78	5.005
3.5	2th	11.82	9.624	7.045
3.5	3th	12.73	7.284	2.101
3.5	4th	14.15	10.13	-6.929
3.5	5th	15.75	7.627	-4.281
3.5	6th	17.63	5.663	-15.56
4.5	1th	5.063	10.95	-5.776
4.5	2th	10.6	5.685	3.282
4.5	3th	18.54	7.486	1.487
4.5	4th	21.16	4.846	-11.33
4.5	1th	11.56	8.922	-0.275
4.5	2th	14.64	7.266	1.959
4.5	3th	15.82	8.431	-6.641
5.5	1th	13.65	9.042	-0.7434
