J	?th	eig	newsr	ewsr
0	1th	-4.31	1.01	5.052
0	2th	7.444	0.4805	0.4557
0	3th	10.32	1.816	2.034
0	4th	12.92	0.6425	-0.3452
0	1th	9.976	0.8455	-1.32
1	1th	4.278	0.2487	-0.05027
1	1th	4.792	1.241	0.8438
1	2th	6.647	0.6136	0.4246
1	3th	10.67	0.8413	-2.072
2	1th	0.4892	0.5483	-0.6548
2	2th	4.113	0.2596	0.1222
2	3th	11.22	1.322	1.071
2	4th	12.83	0.8309	-0.944
2	1th	6.978	0.6589	0.312
2	2th	8.289	1.118	-0.00513
2	3th	9.497	0.4811	-0.4803
3	1th	14.16	0.6764	-0.6395
3	1th	6.007	0.7711	0.1383
3	2th	8.48	0.4623	0.2352
4	1th	12.76	0.6764	-0.06034
4	1th	7.378	0.8256	0.2205
