J	?th	eig	newsr	ewsr
0.5	1th	-7.167	6.76	15.93
0.5	2th	-1.685	3.41	12.49
0.5	3th	-0.8092	4.811	8.919
0.5	4th	2.354	5.192	2.57
0.5	5th	2.396	5.866	9.363
0.5	6th	4.453	3.271	-0.7934
0.5	7th	4.572	4.195	-2.575
0.5	8th	5.856	3.352	-1.224
0.5	9th	5.92	4.256	-2.312
0.5	10th	7.78	4.237	-4.34
0.5	11th	7.992	3.811	-2.914
0.5	12th	9.6	2.042	-3.704
0.5	13th	9.813	3.538	-1.694
0.5	14th	11.29	9.126	9.748
0.5	15th	13.73	5.814	10.52
0.5	16th	14.91	4.075	-18.9
0.5	17th	16.06	3.949	-13.93
0.5	18th	16.73	2.891	-0.7338
0.5	19th	18.75	5.508	-10.94
0.5	20th	19.49	5.748	-11.83
0.5	1th	-13.17	4.895	15.37
0.5	2th	-3.54	3.089	2.39
0.5	3th	-2.718	2.825	4.235
0.5	4th	0.2186	2.783	2.34
0.5	5th	1.551	3.361	2.616
0.5	6th	2.93	6.319	9.251
0.5	7th	5.88	4.36	6.011
0.5	8th	7.05	2.112	-2.712
0.5	9th	8.684	4.263	3.13
0.5	10th	10.09	7.84	6.87
0.5	11th	10.68	5.641	0.9471
0.5	12th	11.57	4.531	-2.932
0.5	13th	12.2	6.242	-2.905
0.5	14th	12.43	4.563	2.621
0.5	15th	12.86	4.464	-6.083
0.5	16th	13.71	5.437	-9.235
0.5	17th	13.98	4.932	-6.638
0.5	18th	15	3.509	-7.363
0.5	19th	15.34	3.853	-5.801
1.5	1th	-3.491	5.397	10.84
1.5	2th	-2.458	4.471	10.55
1.5	3th	-0.6629	4.14	4.801
1.5	4th	-0.08526	4.916	8.343
1.5	5th	1.73	3.762	4.74
1.5	6th	2.625	3.613	1.203
1.5	7th	4.202	3.031	0.5528
1.5	8th	4.919	3.601	-1.934
1.5	9th	5.314	4.058	-2.565
1.5	10th	5.4	3.964	-1.547
1.5	11th	5.969	3.572	-2.342
1.5	12th	6.4	3.188	-2.264
1.5	13th	6.492	4.274	-2.083
1.5	14th	7.143	3.695	-0.3124
1.5	15th	7.579	3.632	-8.743
1.5	16th	8.316	3.258	-0.5883
1.5	17th	8.698	3.771	-7.84
1.5	18th	10.05	2.424	-3.98
1.5	19th	10.21	2.16	-5.375
1.5	20th	12.87	3.468	-14.1
1.5	21th	13.58	4.645	-13.47
1.5	22th	14.76	7.55	-4.829
1.5	23th	16.14	6.283	3.379
1.5	24th	16.33	6.154	-4.66
1.5	25th	17.71	4.882	-3.68
1.5	26th	18.55	4.034	-5.101
1.5	27th	19.89	5.232	-12.12
1.5	1th	-15.16	4.712	19.55
1.5	2th	-3.918	2.961	3.929
1.5	3th	-2.893	3.167	3.666
1.5	4th	-0.9106	2.784	4.453
1.5	5th	-0.136	2.277	-2.756
1.5	6th	0.8905	5.904	10.48
1.5	7th	2.042	4.559	2.034
1.5	8th	3.206	2.17	-6.532
1.5	9th	4.743	4.536	8.169
1.5	10th	5.186	5.63	8.658
1.5	11th	6.972	4.596	10.36
1.5	12th	8.524	3.645	-0.4943
1.5	13th	9.122	5.754	4.458
1.5	14th	9.541	6.099	-0.4429
1.5	15th	10.12	5.135	-2.325
1.5	16th	10.33	4.726	-2.774
1.5	17th	10.65	5.773	1.75
1.5	18th	10.75	2.963	-0.2745
1.5	19th	11.47	6.462	-0.4386
1.5	20th	11.94	4.274	-1.308
1.5	21th	12	4.846	-1.025
1.5	22th	12.42	4.671	1.085
1.5	23th	12.99	5.3	-2.452
1.5	24th	13.02	4.961	-2.673
1.5	25th	13.36	4.472	-0.4788
1.5	26th	14.21	3.816	-5.945
1.5	27th	14.67	3.33	-6.586
1.5	28th	15.63	4.342	-12.82
1.5	29th	16.67	3.938	-13.23
1.5	30th	17.44	4.686	-18.3
2.5	1th	-7.481	6.047	17.71
2.5	2th	-2.539	3.755	10.92
2.5	3th	-0.9242	3.225	7.37
2.5	4th	-0.3744	5.039	9.451
2.5	5th	1.034	5.161	13.57
2.5	6th	1.939	4.249	5.73
2.5	7th	2.284	3.252	1.329
2.5	8th	2.99	3.322	-0.8041
2.5	9th	4.196	3.702	0.9248
2.5	10th	5.424	3.607	-3.039
2.5	11th	5.828	3.011	-1.256
2.5	12th	5.87	3.847	-2.6
2.5	13th	6.566	3.361	-8.288
2.5	14th	6.874	3.255	-0.4804
2.5	15th	7.478	3.315	-6.626
2.5	16th	7.857	3.086	-2.494
2.5	17th	8.65	3.636	1.029
2.5	18th	9.689	4.359	0.07873
2.5	19th	9.773	2.949	-5.677
2.5	20th	11.22	8.177	5.536
2.5	21th	12.61	3.897	-10.19
2.5	22th	13.47	6.865	3.393
2.5	23th	13.71	2.413	-10.43
2.5	24th	14.48	6.294	2.526
2.5	25th	15.92	3.786	4.834
2.5	26th	16.67	6.12	1.948
2.5	27th	17.88	5.426	-4.546
2.5	28th	18.53	5.244	-4.048
2.5	29th	18.79	3.705	-7.362
2.5	30th	19.89	3.302	-7.573
2.5	1th	-6.653	3.014	0.1328
2.5	2th	-6.026	3.159	9.892
2.5	3th	-2.722	2.369	-1.861
2.5	4th	0.433	2.389	-6.075
2.5	5th	2.74	2.107	-7.383
2.5	6th	3.799	4.768	12.32
2.5	7th	5.358	6.085	7.256
2.5	8th	6.738	5.041	8.365
2.5	9th	7.462	7.198	4.65
2.5	10th	8.629	4.554	1.739
2.5	11th	9.459	4.946	-0.9002
2.5	12th	10.24	5.62	2.666
2.5	13th	10.32	4.6	2.311
2.5	14th	10.61	4.588	2.882
2.5	15th	11.36	4.985	-1.629
2.5	16th	11.73	4.326	-1.578
2.5	17th	12.16	4.412	-1.541
2.5	18th	12.35	4.245	-3.244
2.5	19th	12.45	5.142	1.016
2.5	20th	12.99	4.34	-7.151
2.5	21th	13.02	3.248	-2.427
2.5	22th	13.79	4.025	-7.408
2.5	23th	14.04	2.99	-2.163
2.5	24th	14.64	4.685	-10.7
2.5	25th	15.18	4.203	-9.335
2.5	26th	17.51	3.584	-17.59
2.5	27th	17.73	4.23	-13.75
3.5	1th	-2.921	5.216	11.89
3.5	2th	-0.8122	3.128	6.612
3.5	3th	-0.6862	3.984	8.506
3.5	4th	0.3198	3.191	3.77
3.5	5th	1.747	3.379	8.027
3.5	6th	2.891	2.979	0.207
3.5	7th	4.596	2.744	-3.53
3.5	8th	5.558	2.815	-0.9219
3.5	9th	6.469	2.917	-4.441
3.5	10th	8.439	2.73	-1.858
3.5	11th	8.69	2.904	-3.612
3.5	12th	10.8	3.587	-5.881
3.5	13th	12.77	5.821	7.208
3.5	14th	15.55	6.448	3.372
3.5	15th	16.46	6.582	0.3928
3.5	16th	17.93	3.092	-1.455
3.5	17th	18.73	5.032	-9.234
3.5	18th	20.05	4.37	-14.04
3.5	1th	-9.932	3.127	5.234
3.5	2th	-4.406	2.456	5.331
3.5	3th	1.935	6.408	10.93
3.5	4th	4.996	4.09	5.899
3.5	5th	6.386	4.618	8.956
3.5	6th	7.865	6.027	5.192
3.5	7th	8.977	5.336	0.4135
3.5	8th	9.318	6.16	1.71
3.5	9th	10.29	4.697	0.4805
3.5	10th	10.75	5.553	0.2328
3.5	11th	11.37	3.388	-0.7055
3.5	12th	11.82	4.113	-0.8029
3.5	13th	11.98	3.17	0.3089
3.5	14th	12.73	3.533	-1.75
3.5	15th	12.79	3.194	-2.605
3.5	16th	13.26	2.922	-2.285
3.5	17th	14.15	4.357	-6.729
3.5	18th	15.75	3.61	-8.354
3.5	19th	16.18	4.585	-16.02
3.5	20th	17.63	3.228	-15.06
4.5	1th	-4.048	4.01	6.947
4.5	2th	0.3509	3.445	5.109
4.5	3th	2.551	3.796	1.362
4.5	4th	4.247	3.073	-2.488
4.5	5th	5.063	4.142	-1.879
4.5	6th	10.6	2.774	-6.095
4.5	7th	11.62	7.606	7.519
4.5	8th	14.47	4.783	1.551
4.5	9th	16.25	5.973	-5.744
4.5	10th	18.54	3.849	-3.963
4.5	11th	21.16	3.324	-12.75
4.5	1th	5.597	4.973	8.316
4.5	2th	6.046	7.37	9.602
4.5	3th	7.063	3.502	6.057
4.5	4th	8.623	4.706	2.908
4.5	5th	9.64	3.822	1.446
4.5	6th	10.48	4.595	0.9991
4.5	7th	11.56	3.918	-1.397
4.5	8th	12.43	3.248	-0.2549
4.5	9th	14.64	3.493	-5.388
4.5	10th	15.82	3.945	-10.36
5.5	1th	-2.368	3.524	6.587
5.5	2th	14.23	5.974	5.742
5.5	3th	15.59	4.103	1.959
5.5	1th	3.573	4.356	6.215
5.5	2th	7.264	5.426	5.219
5.5	3th	9.943	4.373	1.027
5.5	4th	13.65	3.949	-4.326
6.5	1th	13.11	5.451	3.736
6.5	1th	6.141	6.018	6.709

