J	?th	eig	newsr	ewsr
0.0	1	-41.397	32.176	80.900
0.0	2	-34.464	20.885	69.345
0.0	3	-29.065	16.713	50.208
0.0	4	-26.458	22.122	26.979
0.0	5	-26.330	20.588	42.572
0.0	6	-24.538	9.516	27.242
0.0	7	-24.013	10.778	26.583
0.0	8	-23.934	16.042	38.559
0.0	9	-22.926	20.422	34.533
0.0	10	-21.857	11.818	20.554
0.0	11	-21.563	18.111	32.727
0.0	12	-19.784	14.421	15.441
0.0	13	-19.761	10.495	14.811
0.0	14	-18.597	15.344	11.617
0.0	15	-18.396	12.444	20.902
0.0	16	-17.468	9.926	17.769
0.0	17	-16.900	15.617	6.634
0.0	18	-16.213	10.978	11.025
0.0	19	-15.770	11.989	9.978
0.0	20	-14.548	13.022	4.347
0.0	21	-14.483	12.704	16.374
0.0	22	-14.102	11.481	3.581
0.0	23	-13.624	15.515	-13.465
0.0	24	-13.235	11.269	5.093
0.0	25	-12.338	12.187	-0.374
0.0	26	-11.771	13.615	-6.233
0.0	27	-11.165	14.056	-6.375
0.0	28	-11.155	13.547	-3.097
0.0	29	-10.330	12.949	-3.600
0.0	30	-10.254	9.236	-3.541
0.0	31	-9.520	15.108	-0.274
0.0	32	-9.442	13.463	-12.575
0.0	33	-9.044	12.345	-4.245
0.0	34	-8.341	10.749	1.836
0.0	35	-6.862	8.896	-16.732
0.0	36	-6.778	12.021	-12.840
0.0	37	-4.969	12.597	-15.162
0.0	38	-4.868	13.617	-23.252
0.0	39	-4.253	10.126	-20.363
0.0	40	-4.161	7.772	-18.056
0.0	41	-4.075	10.357	-15.827
0.0	42	-2.066	6.390	-22.729
0.0	43	-1.634	7.522	-25.869
0.0	44	-0.643	11.491	-15.742
0.0	45	2.222	8.090	-28.168
0.0	46	7.667	6.865	-41.684
1.0	1	-29.830	22.270	42.380
1.0	2	-28.360	21.903	43.974
1.0	3	-27.442	20.609	39.325
1.0	4	-26.303	16.447	37.460
1.0	5	-26.228	17.168	42.896
1.0	6	-26.015	20.569	38.019
1.0	7	-25.497	17.031	35.633
1.0	8	-25.237	22.213	26.080
1.0	9	-24.886	13.544	31.086
1.0	10	-23.575	20.340	21.656
1.0	11	-23.525	16.996	25.291
1.0	12	-23.356	14.844	35.736
1.0	13	-23.006	15.303	28.965
1.0	14	-22.572	12.622	21.372
1.0	15	-21.844	15.506	21.420
1.0	16	-20.974	10.877	22.220
1.0	17	-20.959	12.834	14.938
1.0	18	-20.552	15.775	24.222
1.0	19	-20.183	14.130	20.281
1.0	20	-19.657	11.407	27.087
1.0	21	-19.401	12.926	16.468
1.0	22	-19.098	12.952	14.202
1.0	23	-18.657	10.922	16.532
1.0	24	-18.645	12.279	11.176
1.0	25	-18.485	12.724	16.301
1.0	26	-18.133	12.753	8.721
1.0	27	-17.890	11.947	13.530
1.0	28	-17.550	12.625	14.889
1.0	29	-17.030	13.505	12.439
1.0	30	-16.866	11.686	15.162
1.0	31	-16.525	12.551	12.609
1.0	32	-16.183	12.976	1.594
1.0	33	-16.119	12.826	6.096
1.0	34	-15.905	9.537	7.259
1.0	35	-15.541	12.588	4.556
1.0	36	-15.394	11.145	8.039
1.0	37	-15.304	12.629	5.576
1.0	38	-15.202	10.745	6.770
1.0	39	-14.894	12.120	6.962
1.0	40	-14.622	12.033	1.591
1.0	41	-14.182	9.562	7.300
1.0	42	-13.939	12.356	7.240
1.0	43	-13.930	11.636	1.479
1.0	44	-13.664	15.228	1.795
1.0	45	-13.558	12.564	5.692
1.0	46	-13.343	11.691	7.377
1.0	47	-13.145	14.315	1.221
1.0	48	-12.961	12.307	3.006
1.0	49	-12.371	12.706	3.930
1.0	50	-12.361	13.880	-5.221
1.0	51	-12.339	12.395	-0.765
1.0	52	-12.047	11.253	3.151
1.0	53	-11.951	11.451	0.929
1.0	54	-11.665	11.855	-2.575
1.0	55	-11.539	13.433	-3.166
1.0	56	-11.381	8.805	-0.149
1.0	57	-11.059	11.222	-1.148
1.0	58	-10.693	11.290	-6.416
1.0	59	-10.595	10.212	-7.534
1.0	60	-10.516	13.420	-7.093
1.0	61	-10.060	10.677	-6.706
1.0	62	-9.931	11.172	-3.566
1.0	63	-9.495	11.617	-7.211
1.0	64	-9.428	13.225	-11.488
1.0	65	-9.154	8.771	-9.646
1.0	66	-8.901	12.536	-11.013
1.0	67	-8.625	10.446	-5.539
1.0	68	-8.472	11.054	-8.027
1.0	69	-8.231	10.447	-6.515
1.0	70	-8.145	12.076	-5.638
1.0	71	-7.977	10.206	-13.822
1.0	72	-7.486	8.491	-9.884
1.0	73	-7.461	9.386	-10.460
1.0	74	-7.030	12.538	-10.896
1.0	75	-6.872	10.369	-12.458
1.0	76	-6.742	9.971	-14.914
1.0	77	-6.462	10.305	-9.906
1.0	78	-5.926	9.460	-10.183
1.0	79	-5.679	11.123	-14.861
1.0	80	-5.656	8.375	-13.033
1.0	81	-5.424	11.547	-18.490
1.0	82	-5.001	10.886	-15.354
1.0	83	-4.453	10.267	-15.506
1.0	84	-3.544	11.626	-21.276
1.0	85	-3.309	10.309	-19.297
1.0	86	-2.946	7.380	-21.782
1.0	87	-2.942	8.829	-23.788
1.0	88	-2.476	9.872	-19.292
1.0	89	-2.442	9.788	-23.164
1.0	90	-1.256	9.266	-23.888
1.0	91	-1.050	8.168	-24.354
1.0	92	0.254	8.355	-29.740
1.0	93	1.865	8.892	-23.109
1.0	94	2.208	8.499	-27.204
1.0	95	4.112	6.836	-38.012
1.0	96	4.243	6.675	-36.607
1.0	97	5.804	6.736	-34.903
2.0	1	-39.586	31.559	61.556
2.0	2	-33.569	17.737	58.092
2.0	3	-31.064	22.536	47.183
2.0	4	-30.539	19.773	41.005
2.0	5	-30.255	19.344	41.618
2.0	6	-28.690	21.676	37.670
2.0	7	-27.647	15.736	34.296
2.0	8	-27.513	16.456	36.080
2.0	9	-27.084	18.436	31.267
2.0	10	-27.033	18.636	42.003
2.0	11	-25.749	16.388	34.825
2.0	12	-25.734	8.800	26.477
2.0	13	-25.337	14.472	27.849
2.0	14	-25.047	18.212	30.788
2.0	15	-24.776	18.882	27.941
2.0	16	-24.158	15.588	32.910
2.0	17	-24.059	14.619	30.771
2.0	18	-24.037	21.115	24.117
2.0	19	-23.545	17.968	27.297
2.0	20	-23.380	16.239	29.798
2.0	21	-22.810	14.389	22.096
2.0	22	-22.547	14.137	21.325
2.0	23	-22.123	14.295	23.267
2.0	24	-22.104	15.612	21.672
2.0	25	-21.412	12.319	21.677
2.0	26	-21.323	12.362	22.990
2.0	27	-21.033	14.302	22.493
2.0	28	-20.950	11.640	20.669
2.0	29	-20.741	14.944	17.745
2.0	30	-20.528	12.003	17.337
2.0	31	-20.209	12.543	22.074
2.0	32	-20.149	13.398	17.167
2.0	33	-19.764	12.269	17.585
2.0	34	-19.639	13.149	13.402
2.0	35	-19.471	13.593	19.468
2.0	36	-19.332	12.062	13.854
2.0	37	-18.973	13.641	12.426
2.0	38	-18.891	13.015	7.042
2.0	39	-18.616	13.344	15.883
2.0	40	-18.378	13.005	6.639
2.0	41	-18.172	12.572	10.634
2.0	42	-17.977	12.924	7.297
2.0	43	-17.949	11.747	18.180
2.0	44	-17.714	11.324	6.571
2.0	45	-17.664	12.262	10.276
2.0	46	-17.593	11.408	8.581
2.0	47	-17.363	13.128	8.008
2.0	48	-17.180	12.993	8.792
2.0	49	-16.906	11.269	6.839
2.0	50	-16.794	13.146	11.718
2.0	51	-16.704	13.876	9.608
2.0	52	-16.459	13.184	10.193
2.0	53	-16.388	13.779	2.398
2.0	54	-16.233	11.895	8.853
2.0	55	-16.043	11.920	6.842
2.0	56	-15.809	13.094	5.640
2.0	57	-15.758	11.501	6.861
2.0	58	-15.726	11.768	8.889
2.0	59	-15.548	12.692	10.194
2.0	60	-15.540	11.656	5.540
2.0	61	-15.452	11.404	8.656
2.0	62	-15.205	11.102	6.111
2.0	63	-15.133	11.980	5.968
2.0	64	-14.907	10.277	3.813
2.0	65	-14.723	12.357	9.442
2.0	66	-14.366	10.923	3.707
2.0	67	-14.343	12.186	0.811
2.0	68	-13.944	13.189	3.055
2.0	69	-13.933	12.465	5.976
2.0	70	-13.855	10.775	2.416
2.0	71	-13.666	10.444	0.145
2.0	72	-13.654	12.878	1.976
2.0	73	-13.236	12.661	-2.368
2.0	74	-13.114	10.806	2.761
2.0	75	-12.884	11.994	-0.480
2.0	76	-12.711	10.974	1.011
2.0	77	-12.710	11.966	-2.454
2.0	78	-12.623	13.373	0.806
2.0	79	-12.552	10.117	-1.828
2.0	80	-12.357	10.652	-3.709
2.0	81	-12.125	12.747	0.926
2.0	82	-12.051	12.548	1.679
2.0	83	-11.547	11.126	-1.225
2.0	84	-11.427	9.410	-2.775
2.0	85	-11.410	10.314	-7.598
2.0	86	-11.261	11.493	-4.063
2.0	87	-11.199	11.474	-9.001
2.0	88	-10.952	11.052	-5.358
2.0	89	-10.930	10.579	-2.125
2.0	90	-10.711	11.377	-6.286
2.0	91	-10.260	12.259	-11.555
2.0	92	-10.112	11.370	-3.826
2.0	93	-9.951	11.361	-7.540
2.0	94	-9.908	11.256	-6.130
2.0	95	-9.884	10.826	-7.103
2.0	96	-9.842	12.333	-10.568
2.0	97	-9.603	11.189	-13.339
2.0	98	-9.289	10.133	-9.864
2.0	99	-8.937	11.631	-8.192
2.0	100	-8.636	10.517	-12.946
2.0	101	-8.594	10.791	-8.677
2.0	102	-8.542	13.324	-11.864
2.0	103	-8.491	10.501	-10.869
