J	?th	eig	newsr	ewsr
0.5	1	-24.099	28.271	57.227
0.5	2	-17.774	15.175	43.231
0.5	3	-15.144	13.613	33.657
0.5	4	-14.453	14.640	29.129
0.5	5	-14.365	6.627	21.813
0.5	6	-11.863	13.338	13.568
0.5	7	-11.543	14.704	19.165
0.5	8	-9.335	10.862	2.205
0.5	9	-8.209	9.545	3.213
0.5	10	-8.148	16.896	-0.437
0.5	11	-7.603	14.825	-7.547
0.5	12	-5.059	7.382	-11.823
0.5	13	-4.706	9.427	-8.871
0.5	14	-4.142	14.077	-14.940
0.5	15	-1.782	10.711	-14.759
0.5	16	0.109	10.559	-17.596
0.5	17	0.141	11.029	-10.856
0.5	18	0.767	10.449	-17.463
0.5	19	4.576	7.299	-30.088
1.5	1	-22.321	21.903	49.901
1.5	2	-17.159	14.002	25.139
1.5	3	-16.913	15.223	30.060
1.5	4	-15.916	16.012	25.194
1.5	5	-15.269	12.305	23.880
1.5	6	-12.966	14.712	18.211
1.5	7	-12.752	14.851	26.949
1.5	8	-12.173	9.549	10.431
1.5	9	-11.733	14.482	5.507
1.5	10	-11.476	13.844	2.849
1.5	11	-9.948	16.239	13.859
1.5	12	-9.897	13.172	3.050
1.5	13	-9.126	10.530	5.386
1.5	14	-8.258	8.587	4.088
1.5	15	-7.979	10.043	-4.390
1.5	16	-7.747	11.944	8.698
1.5	17	-7.154	12.955	-2.360
1.5	18	-6.730	12.920	-2.075
1.5	19	-5.606	11.334	-2.908
1.5	20	-4.959	10.702	-21.703
1.5	21	-4.671	8.255	-4.849
1.5	22	-3.764	9.463	-8.211
1.5	23	-3.352	10.954	-8.811
1.5	24	-2.997	9.241	-19.506
1.5	25	-1.293	10.614	-14.307
1.5	26	-0.095	10.480	-9.705
1.5	27	1.421	8.851	-27.142
1.5	28	2.060	7.601	-22.552
1.5	29	2.360	11.702	-18.821
1.5	30	5.952	7.271	-34.849
2.5	1	-24.014	24.211	55.068
2.5	2	-19.029	14.038	25.686
2.5	3	-17.419	12.109	20.217
2.5	4	-16.406	13.427	23.152
2.5	5	-16.037	14.074	30.129
2.5	6	-15.698	15.278	33.172
2.5	7	-14.379	11.567	15.861
2.5	8	-12.960	13.878	14.801
2.5	9	-12.776	14.076	17.660
2.5	10	-12.574	12.099	14.349
2.5	11	-11.578	9.862	10.066
2.5	12	-11.141	11.650	-0.774
2.5	13	-10.765	9.512	11.470
2.5	14	-9.418	10.397	8.206
2.5	15	-8.991	11.296	-0.296
2.5	16	-8.548	12.063	0.374
2.5	17	-8.127	11.532	-0.207
2.5	18	-7.342	9.248	-2.475
2.5	19	-6.921	10.601	-8.003
2.5	20	-6.386	13.109	-9.151
2.5	21	-6.138	12.207	-10.900
2.5	22	-5.156	10.150	-10.212
2.5	23	-4.452	9.244	-9.624
2.5	24	-3.987	9.306	-6.542
2.5	25	-3.938	10.808	-10.160
2.5	26	-2.915	10.524	-12.665
2.5	27	-1.465	9.061	-24.005
2.5	28	-1.371	11.617	-15.300
2.5	29	0.605	7.537	-19.676
2.5	30	1.429	8.761	-24.104
2.5	31	1.716	6.885	-27.404
2.5	32	4.140	6.675	-31.389
3.5	1	-19.125	13.326	32.242
3.5	2	-17.870	10.143	20.357
3.5	3	-17.712	17.469	21.018
3.5	4	-15.332	13.676	16.365
3.5	5	-14.042	9.297	12.458
3.5	6	-13.111	13.105	4.127
3.5	7	-12.842	8.404	15.742
3.5	8	-11.861	12.727	-2.593
3.5	9	-11.307	10.031	-0.153
3.5	10	-10.903	12.409	1.022
3.5	11	-9.015	9.515	-6.426
3.5	12	-8.810	13.391	-0.867
3.5	13	-8.390	10.858	-5.663
3.5	14	-7.617	10.276	-6.846
3.5	15	-6.522	10.554	-11.049
3.5	16	-6.067	9.009	-8.033
3.5	17	-5.485	7.518	-8.793
3.5	18	-5.211	7.309	-12.539
3.5	19	-4.772	10.753	-7.114
3.5	20	-3.317	7.637	-10.444
3.5	21	-1.425	8.765	-12.174
3.5	22	-0.881	7.924	-13.887
3.5	23	-0.391	7.687	-23.547
3.5	24	2.738	7.245	-32.144
4.5	1	-21.439	19.627	21.091
4.5	2	-16.917	9.234	9.479
4.5	3	-16.036	11.833	10.339
4.5	4	-13.625	8.697	6.663
4.5	5	-12.886	12.711	-0.313
4.5	6	-11.697	8.993	-0.477
4.5	7	-10.866	9.095	4.701
4.5	8	-10.201	7.911	-0.163
4.5	9	-9.656	10.515	2.500
4.5	10	-8.537	8.370	-6.248
4.5	11	-6.194	7.908	-11.522
4.5	12	-5.237	9.186	-8.661
4.5	13	-5.110	7.555	-18.095
4.5	14	-3.155	8.392	-18.959
4.5	15	-0.864	7.838	-26.142
5.5	1	-17.365	10.116	13.161
5.5	2	-16.029	9.223	14.349
5.5	3	-13.169	10.278	3.365
5.5	4	-10.662	7.820	-10.322
5.5	5	-8.007	8.903	-12.114
5.5	6	-5.904	9.763	-12.510
6.5	1	-19.394	10.678	7.576
6.5	2	-13.711	9.813	-8.088
